;0;1;2;3;4;5;6;7;8;9;10;11
nocturna_Punta;346.678;246.067;245.364;191.064;132.896;131.41;167.677;123.757;122.983;120.056;198.786;250.595
nocturna_Llana;367.358;263.507;245.573;191.101;129.935;137.823;177.465;124.255;121.356;104.651;169.211;247.317
nocturna_Valle;701.811;397.011;361.118;323.601;256.636;257.529;371.149;212.116;216.756;241.605;309.878;392.44
14h_Promocionadas;721.352;464.87;402.304;364.322;261.13;263.779;371.066;244.883;244.713;250.816;347.433;419.973
14h_No promocionadas;694.495;441.715;449.751;341.444;258.337;262.983;345.225;215.245;216.382;215.496;330.442;470.379
6h_Promocionadas;227.327;132.463;120.819;117.923;85.18599999999999;86.598;120.381;87.297;82.415;83.676;118.851;136.381
6h_No promocionadas;1188.52;774.122;731.236;587.843;434.281;440.164;595.91;372.831;378.68;382.636;559.024;753.971
16h_Promocionadas;905.678;573.423;504.435;424.516;304.998;313.734;466.255;290.803;281.736;287.732;406.359;533.837
16h_No promocionadas;510.169;333.162;347.62;281.25;214.469;213.028;250.036;169.325;179.359;178.58;271.516;356.515
